Beryl,Beryl.1,Cosmos,Cosmos.1,# recordings,# neurons,# good neurons,canonical,stim_dec,stim_man,stim_euc,stim_glm,choice_dec,choice_man,choice_euc,choice_glm,fback_dec,fback_man,fback_euc,fback_glm,speed_dec,speed_glm,velocity_dec,velocity_glm,stim_dec_sig,stim_man_sig,stim_euc_sig,choice_dec_sig,choice_man_sig,choice_euc_sig,fback_dec_sig,fback_man_sig,fback_euc_sig,speed_dec_sig,velocity_dec_sig,prior_dec_ep,prior_dec_wf,prior_dec_ep_sig,prior_dec_wf_sig
SSs,Supplemental somatosensory area,Isocortex,Isocortex,15,3168,439,True,0.01,0.0,-1.04,-3.01,0.08,0.01,-0.75,-3.22,0.26,0.16,-0.23,-2.4,0.12,-2.33,0.08,-2.7,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0346556152275627,0.010772929819675,1.0,1.0
GU,Gustatory areas,Isocortex,Isocortex,5,445,69,True,-0.0,0.0,-0.78,-2.84,0.02,0.0,-0.76,-3.44,0.36,0.28,0.17,-1.78,0.04,-2.94,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,,0.0029535247661145,,0.0,
VISC,Visceral area,Isocortex,Isocortex,6,375,61,True,0.01,0.0,-0.9,-3.41,0.06,0.02,-1.02,-3.58,0.23,0.13,-0.31,-2.64,0.18,-2.63,0.19,-3.03,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0655768232489394,,1.0,
AUDd,Dorsal auditory area,Isocortex,Isocortex,9,991,133,True,0.04,0.0,-0.57,-2.9,0.14,0.05,-0.72,-3.36,0.19,0.39,0.42,-1.97,0.14,-2.09,0.11,-2.82,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0002610124494252,0.0011319370274842,0.0,1.0
AUDp,Primary auditory area,Isocortex,Isocortex,7,1450,167,True,-0.01,0.0,-0.96,-2.83,0.08,0.01,-0.78,-3.27,0.44,0.28,0.54,-1.77,0.06,-2.59,0.05,-5.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0210670189053016,0.0043993608305339,1.0,1.0
AUDpo,Posterior auditory area,Isocortex,Isocortex,6,439,46,True,0.06,0.02,-0.8,-3.58,0.07,0.02,-0.58,-3.37,0.24,0.11,0.3,-2.0,0.07,-2.89,0.01,-5.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0051256790131081,0.0042711197903106,0.0,1.0
AUDv,Ventral auditory area,Isocortex,Isocortex,10,1061,253,True,0.01,0.01,-0.83,-3.13,0.08,0.0,-0.99,-3.43,0.39,0.22,-0.09,-2.44,0.11,-2.62,0.04,-3.57,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0277330359927964,0.0007062203047698,0.0,1.0
VISal,Anterolateral visual area,Isocortex,Isocortex,5,697,95,True,0.01,0.01,-0.41,-2.85,0.14,0.05,-0.61,-3.38,0.12,0.03,-0.16,-2.37,0.15,-2.57,0.1,-4.36,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0082159495952258,0.007490810674412,0.0,1.0
VISam,Anteromedial visual area,Isocortex,Isocortex,26,2581,374,True,0.05,0.02,-0.51,-2.69,0.09,0.02,-0.77,-3.31,0.12,0.04,-0.14,-2.66,0.1,-2.76,0.03,-3.78,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0051499507480172,0.0067808274210525,0.0,1.0
VISl,Lateral visual area,Isocortex,Isocortex,14,1559,151,True,0.04,0.04,-0.45,-2.91,0.07,0.02,-0.63,-3.58,0.06,0.01,-0.32,-2.91,0.02,-3.0,0.03,-3.16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0159428401032701,0.0043750876783975,0.0,1.0
VISp,Primary visual area,Isocortex,Isocortex,65,8559,880,True,0.02,0.03,-0.44,-2.73,0.06,0.02,-0.97,-3.39,0.11,0.05,-0.28,-2.66,0.06,-2.9,0.03,-4.05,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0193965887768556,0.0178095321567214,1.0,1.0
VISpl,Posterolateral visual area,Isocortex,Isocortex,14,523,95,True,0.07,0.01,-1.03,-3.09,0.11,0.0,-1.03,-3.46,0.18,0.05,-0.21,-2.86,0.06,-3.61,0.03,-5.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0641312057654203,0.0038723320220941,1.0,1.0
VISpm,posteromedial visual area,Isocortex,Isocortex,22,1995,241,True,0.01,0.02,-0.41,-2.76,0.07,0.0,-0.55,-3.47,0.1,0.03,-0.46,-2.72,0.05,-2.92,0.03,-4.56,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0145379625752061,0.0038343614723242,0.0,1.0
VISli,Laterointermediate area,Isocortex,Isocortex,9,656,83,True,0.04,0.02,-0.59,-2.84,0.08,0.04,-0.62,-3.49,0.13,0.06,-0.34,-2.64,0.08,-2.88,0.05,-3.49,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,-0.010587520472117,0.0027320911923742,0.0,1.0
VISpor,Postrhinal area,Isocortex,Isocortex,8,889,99,True,0.01,0.01,-0.9,-3.03,0.07,0.01,-1.0,-3.49,0.06,0.03,-0.74,-2.71,0.05,-4.32,0.04,-4.32,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0015751025778727,0.0008878817385977,0.0,1.0
ACAd,Anterior cingulate area dorsal part,Isocortex,Isocortex,24,1960,369,True,0.04,0.0,-0.66,-2.65,0.11,0.07,-0.53,-3.3,0.15,0.12,-0.41,-2.54,0.08,-2.55,0.05,-3.31,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0469221578322657,0.010491679724792,1.0,1.0
ACAv,Anterior cingulate area ventral part,Isocortex,Isocortex,18,1388,195,True,0.01,0.0,-1.18,-3.21,0.07,0.01,-1.19,-3.42,0.09,0.04,-0.25,-2.95,0.06,-2.84,0.01,-4.21,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0046570356645018,,0.0,
PL,Prelimbic area,Isocortex,Isocortex,21,2165,420,True,0.03,0.0,-0.66,-2.61,0.09,0.05,-0.49,-3.13,0.18,0.17,-0.28,-2.31,0.05,-2.42,0.04,-2.82,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0454982240925831,0.0064071886340122,1.0,1.0
ILA,Infralimbic area,Isocortex,Isocortex,12,2008,314,True,0.01,0.0,-1.25,-3.14,0.06,0.02,-0.94,-3.61,0.13,0.08,-0.37,-2.51,0.05,-2.81,0.01,-3.42,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0279569657610046,,0.0,
ORBl,Orbital area lateral part,Isocortex,Isocortex,8,2164,199,True,0.02,0.0,-0.83,-2.78,0.07,0.01,-0.75,-3.34,0.18,0.11,-0.12,-2.25,-0.0,-2.63,0.06,-3.53,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0098240496879783,,0.0,
ORBm,Orbital area medial part,Isocortex,Isocortex,10,1856,313,True,0.01,0.0,-0.83,-3.08,0.04,0.02,-0.71,-3.36,0.11,0.09,-0.32,-2.48,0.09,-2.52,0.07,-3.99,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0001930186517822,,0.0,
ORBvl,Orbital area ventrolateral part,Isocortex,Isocortex,10,3060,669,True,0.01,0.0,-0.5,-2.71,0.13,0.04,-0.43,-3.48,0.38,0.11,-0.64,-2.34,0.18,-2.51,0.11,-3.15,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0837491277716497,,1.0,
AId,Agranular insular area dorsal part,Isocortex,Isocortex,10,1100,188,True,0.01,0.0,-0.85,-2.67,0.05,0.03,-0.79,-3.47,0.36,0.26,0.01,-2.04,0.09,-2.54,0.07,-3.26,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0482037499486968,,1.0,
AIp,Agranular insular area posterior part,Isocortex,Isocortex,8,533,93,True,0.01,0.0,-0.92,-3.17,0.08,0.03,-0.7,-3.64,0.23,0.19,-0.35,-2.17,0.08,-3.0,0.09,-3.59,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0038994957653189,,0.0,
AIv,Agranular insular area ventral part,Isocortex,Isocortex,8,725,149,True,0.01,0.0,-0.95,-3.17,0.03,0.03,-0.58,-3.72,0.09,0.07,-0.58,-2.93,0.01,-3.54,0.0,-5.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0303091076563998,,1.0,
RSPagl,Retrosplenial area lateral agranular part,Isocortex,Isocortex,36,2281,310,True,-0.01,0.0,-0.92,-2.89,0.05,0.02,-0.9,-3.33,0.08,0.08,-0.24,-2.57,0.03,-2.75,0.02,-3.41,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0155411710710597,0.0151843435180852,1.0,1.0
RSPd,Retrosplenial area dorsal part,Isocortex,Isocortex,38,3088,318,True,-0.0,0.0,-1.09,-3.01,0.02,0.01,-0.85,-3.38,0.06,0.03,-0.21,-2.78,0.04,-2.87,0.01,-3.87,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.0009292574315597,0.009409329329407,0.0,1.0
RSPv,Retrosplenial area ventral part,Isocortex,Isocortex,38,4617,528,True,0.01,0.01,-0.74,-2.84,0.05,0.02,-1.02,-3.33,0.1,0.06,-0.4,-2.6,0.13,-2.72,0.03,-3.82,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.0014343727051677,0.0072154091991802,0.0,1.0
VISa,Anterior area,Isocortex,Isocortex,56,6222,940,True,0.03,0.01,-0.85,-2.95,0.1,0.03,-0.8,-3.24,0.13,0.05,-0.06,-2.58,0.07,-2.68,0.05,-3.42,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0036658181614875,0.008663695288691,0.0,1.0
VISrl,Rostrolateral visual area,Isocortex,Isocortex,10,1191,75,True,0.0,0.0,-0.99,-2.76,0.08,0.04,-0.87,-3.25,0.13,0.06,-0.25,-2.45,0.17,-2.47,0.05,-3.41,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0339398066493747,0.0111305605146174,0.0,1.0
TEa,Temporal association areas,Isocortex,Isocortex,11,1040,166,True,0.02,0.0,-1.03,-3.33,0.05,0.01,-1.04,-3.74,0.22,0.13,-0.35,-2.69,0.01,-3.25,0.01,-4.09,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0353982614733588,0.0033506671476206,1.0,1.0
PERI,Perirhinal area,Isocortex,Isocortex,7,163,36,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ECT,Ectorhinal area,Isocortex,Isocortex,9,729,85,True,-0.01,0.0,-0.96,-3.45,0.05,0.0,-0.87,-3.58,0.02,0.03,-0.68,-2.85,0.01,-4.21,0.0,-5.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,-0.0017689646420402,,0.0,
MOB,Main olfactory bulb,OLF,Olfactory areas,3,1227,140,True,-0.02,0.0,-1.09,-3.33,0.02,0.0,-0.8,-3.51,0.0,0.0,-0.43,-2.77,-0.0,-3.83,-0.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.000231556240072,0.008078436008723,0.0,1.0
AOB,Accessory olfactory bulb,OLF,Olfactory areas,2,90,0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AON,Anterior olfactory nucleus,OLF,Olfactory areas,15,3534,428,True,-0.01,0.0,-1.09,-3.12,0.06,0.01,-0.99,-3.62,0.11,0.03,-0.54,-2.6,0.03,-2.88,0.0,-3.76,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0081256828613175,,0.0,
TTd,Taenia tecta dorsal part,OLF,Olfactory areas,14,1771,270,True,-0.0,0.0,-1.17,-3.4,0.04,0.0,-1.06,-3.58,0.15,0.05,-0.18,-2.49,0.03,-2.9,0.01,-3.53,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0081339048278291,,0.0,
TTv,Taenia tecta ventral part,OLF,Olfactory areas,1,7,0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DP,Dorsal peduncular area,OLF,Olfactory areas,19,1637,318,True,0.02,0.0,-1.17,-3.44,0.04,0.01,-1.17,-3.72,0.11,0.1,0.01,-2.49,0.01,-2.91,0.02,-3.62,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0108871107299496,,0.0,
PIR,Piriform area,OLF,Olfactory areas,33,3735,614,True,0.01,0.0,-1.37,-3.51,0.02,0.0,-1.52,-3.71,0.06,0.04,-0.65,-2.79,0.02,-3.92,0.01,-5.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0004460737027358,,0.0,
COAa,Cortical amygdalar area anterior part,OLF,Olfactory areas,4,113,17,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0064845204885626,,0.0,
COAp,Cortical amygdalar area posterior part,OLF,Olfactory areas,20,1899,121,True,-0.01,0.0,-1.04,-3.05,0.0,0.01,-1.04,-3.43,0.07,0.08,-0.21,-2.17,0.01,-2.67,0.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0308866415601594,,1.0,
PAA,Piriform-amygdalar area,OLF,Olfactory areas,5,490,82,True,0.0,0.0,-1.1,-3.54,0.01,0.0,-1.05,-3.93,0.23,0.12,-0.51,-2.65,0.0,-3.41,0.01,-4.54,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.001035501807058,,0.0,
TR,Postpiriform transition area,OLF,Olfactory areas,9,508,37,True,-0.01,0.0,-0.93,-3.26,0.02,0.0,-0.72,-3.44,0.03,0.0,-0.38,-2.32,0.01,-3.48,0.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.004342648516252,,0.0,
CA1,Field CA1,HPF,Hippocampal formation,168,23169,1807,True,0.01,0.0,-1.14,-3.03,0.03,0.01,-1.1,-3.35,0.1,0.06,-0.04,-2.44,0.07,-2.7,0.02,-3.83,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0115501943323516,,1.0,
CA2,Field CA2,HPF,Hippocampal formation,33,656,39,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0289139054833889,,0.0,
CA3,Field CA3,HPF,Hippocampal formation,88,12085,950,True,0.01,0.0,-0.76,-2.81,0.04,0.02,-0.79,-3.35,0.1,0.04,-0.3,-2.47,0.06,-2.67,0.02,-3.42,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.014076208826103,,0.0,
DG,Dentate gyrus,HPF,Hippocampal formation,171,18156,1137,True,-0.0,0.0,-1.32,-3.0,0.04,0.01,-1.12,-3.34,0.11,0.11,-0.14,-2.32,0.06,-2.76,0.01,-3.64,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0082475969480511,,0.0,
FC,Fasciola cinerea,HPF,Hippocampal formation,6,221,23,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0458528085280461,,0.0,
IG,Induseum griseum,HPF,Hippocampal formation,5,134,9,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENTl,Entorhinal area lateral part,HPF,Hippocampal formation,22,4321,585,True,0.0,0.0,-1.17,-3.02,0.04,0.0,-1.37,-3.6,0.11,0.03,-0.36,-2.76,0.03,-3.3,0.01,-4.38,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0108261061308522,,0.0,
ENTm,Entorhinal area medial part dorsal zone,HPF,Hippocampal formation,20,4151,639,True,0.01,0.0,-1.02,-2.77,0.06,0.0,-1.12,-3.41,0.17,0.07,-0.11,-2.49,0.04,-3.4,0.02,-4.24,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.023350435646603,,1.0,
PAR,Parasubiculum,HPF,Hippocampal formation,10,2119,117,True,0.03,0.0,-0.39,-2.83,0.09,0.02,-0.75,-3.12,0.27,0.28,0.17,-2.52,0.1,-2.7,0.04,-3.09,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0118318539547512,,0.0,
POST,Postsubiculum,HPF,Hippocampal formation,26,3243,233,True,0.01,0.0,-0.7,-2.47,0.04,0.03,-0.41,-3.04,0.09,0.15,0.11,-1.55,0.11,-2.13,0.04,-2.76,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0023653607267581,,0.0,
PRE,Presubiculum,HPF,Hippocampal formation,11,1693,115,True,0.03,0.0,-0.51,-2.98,0.09,0.01,-0.8,-3.22,0.11,0.04,0.21,-2.93,0.12,-2.75,0.03,-5.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0131752817175086,,0.0,
SUB,Subiculum,HPF,Hippocampal formation,42,7346,914,True,0.0,0.0,-1.11,-3.0,0.02,0.01,-0.87,-3.38,0.11,0.04,-0.12,-2.61,0.06,-2.41,0.02,-3.19,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0256244021152666,,1.0,
ProS,Prosubiculum,HPF,Hippocampal formation,29,3095,378,True,-0.01,0.01,-0.69,-2.78,0.03,0.01,-0.76,-3.45,0.14,0.07,-0.21,-2.29,0.03,-3.02,0.02,-3.7,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0195586755899152,,0.0,
HATA,Hippocampo-amygdalar transition area,HPF,Hippocampal formation,8,578,59,True,0.01,0.0,-0.54,-2.56,0.02,0.0,-0.46,-3.62,0.04,0.0,-0.52,-2.03,0.01,-5.0,0.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0520957526188395,,1.0,
APr,Area prostriata,HPF,Hippocampal formation,9,328,16,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0197175632311,,0.0,
CLA,Claustrum,CTXsp,Cortical subplate,6,355,49,True,0.0,0.0,-0.69,-2.71,0.14,0.06,-0.39,-3.5,0.23,0.15,-0.04,-2.2,0.12,-2.64,0.11,-2.96,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0181475755478372,,0.0,
EPd,Endopiriform nucleus dorsal part,CTXsp,Cortical subplate,15,1254,199,True,-0.01,0.0,-1.14,-2.97,0.03,0.01,-1.15,-3.76,0.06,0.04,-0.4,-2.51,0.01,-3.45,-0.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0059378047189727,,0.0,
EPv,Endopiriform nucleus ventral part,CTXsp,Cortical subplate,12,822,124,True,0.0,0.0,-1.01,-2.85,0.03,0.0,-1.03,-3.52,0.11,0.04,-0.56,-2.5,0.03,-3.18,0.01,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0129671536240865,,1.0,
LA,Lateral amygdalar nucleus,CTXsp,Cortical subplate,8,583,63,True,0.02,0.0,-0.86,-3.2,0.03,0.02,-0.98,-3.63,0.15,0.12,-0.03,-2.36,0.01,-2.85,0.01,-5.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,9.523236555116406e-05,,0.0,
BLA,Basolateral amygdalar nucleus,CTXsp,Cortical subplate,15,1565,150,True,0.02,0.0,-0.92,-2.89,0.02,0.01,-0.92,-3.32,0.08,0.12,-0.08,-2.15,0.0,-2.95,0.01,-5.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0187522228155954,,0.0,
BMA,Basomedial amygdalar nucleus,CTXsp,Cortical subplate,16,1645,175,True,-0.0,0.0,-1.07,-3.33,0.02,0.0,-1.05,-3.61,0.08,0.14,-0.28,-2.25,0.01,-3.06,0.01,-4.93,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0122059614548408,,0.0,
PA,Posterior amygdalar nucleus,CTXsp,Cortical subplate,17,925,113,True,0.0,0.0,-0.95,-3.73,-0.02,0.0,-0.99,-3.74,-0.01,0.0,-0.76,-3.22,0.0,-3.57,0.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0057479567551619,,0.0,
CP,Caudoputamen,CNU,Cerebral nuclei,83,25339,2892,True,0.03,0.0,-0.7,-2.48,0.17,0.05,-0.58,-3.14,0.34,0.21,-0.18,-2.0,0.11,-2.33,0.21,-2.87,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0497092495091468,,1.0,
ACB,Nucleus accumbens,CNU,Cerebral nuclei,24,2655,340,True,-0.0,0.0,-0.91,-2.88,0.04,0.02,-0.8,-3.39,0.21,0.15,-0.34,-2.19,0.07,-2.61,0.03,-3.41,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0069967089903346,,0.0,
FS,Fundus of striatum,CNU,Cerebral nuclei,5,166,32,True,0.01,0.0,-0.61,-2.69,0.12,0.06,-0.53,-3.39,0.38,0.32,0.35,-1.79,0.02,-2.4,0.04,-3.33,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.000977686255912,,0.0,
OT,Olfactory tubercle,CNU,Cerebral nuclei,20,872,79,True,-0.0,0.0,-0.77,-2.78,0.07,0.0,-0.7,-3.4,0.09,0.04,-0.16,-2.33,0.04,-2.73,0.05,-3.92,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0080221330069177,,0.0,
LSc,Lateral septal nucleus caudal (caudodorsal) part,CNU,Cerebral nuclei,12,749,111,True,0.0,0.0,-1.11,-3.32,0.03,0.01,-1.05,-3.4,0.1,0.04,-0.34,-2.87,0.04,-2.46,0.0,-4.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0069307627667678,,0.0,
LSr,Lateral septal nucleus rostral (rostroventral) part,CNU,Cerebral nuclei,32,5686,1156,True,0.0,0.0,-1.02,-3.26,0.04,0.0,-0.92,-3.55,0.11,0.06,-0.36,-2.79,0.08,-2.75,0.02,-3.88,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0100430358700114,,0.0,
